Date,Platform,Sources/URL,Comment,Sentiment
"Friday, 21 March 2025",X/Twitter,https://x.com/JeanBaptisteMF1/status/1903112845249646676,Expensive devices,Negative
"Wednesday, 4 December 2024",The NewTimes,https://www.newtimes.co.rw/article/22352/news/infrastructure/commuters-all-smiles-as-kigali-launches-distance-based-fare-system,Pay for the ditance covered,Positive
"Wednesday, 4 December 2024",The NewTimes,https://www.newtimes.co.rw/article/22352/news/infrastructure/commuters-all-smiles-as-kigali-launches-distance-based-fare-system,Easy to use and transparent,Positive
"Wednesday, 4 December 2024",The NewTimes,https://www.newtimes.co.rw/article/22352/news/infrastructure/commuters-all-smiles-as-kigali-launches-distance-based-fare-system,Refund balance solved,Positive
"Wednesday, 4 December 2024",The NewTimes,https://www.newtimes.co.rw/article/22352/news/infrastructure/commuters-all-smiles-as-kigali-launches-distance-based-fare-system,Few card possessions,Neutral
"Tuesday, 31 August 2021",RwandaTV,https://www.youtube.com/watch?v=6sclBGin_y8&ab_channel=RwandaTV,Some finds the price unfair,Neutral
"Tuesday, 31 August 2021",RwandaTV,https://www.youtube.com/watch?v=6sclBGin_y8&ab_channel=RwandaTV,Network issues,Negative
"Tuesday, 31 August 2021",RwandaTV,https://www.youtube.com/watch?v=6sclBGin_y8&ab_channel=RwandaTV,Reistance to change by some passengers,Negative
"Thursday, 13 January 2022",TV1 Rwanda,https://www.youtube.com/watch?v=dbNOSnaO0yE&ab_channel=TV1Rwanda,System Failure,Negative
"Thursday, 13 January 2022",TV1 Rwanda,https://www.youtube.com/watch?v=dbNOSnaO0yE&ab_channel=TV1Rwanda,System malfunctions led to fines,Negative
"Saturday, 20 August 2022",RwandaTV,https://www.youtube.com/watch?v=b5CLrAT1rPo&ab_channel=RwandaTV,Differences in prices and fuel prices,Negative
"Saturday, 20 August 2022",RwandaTV,https://www.youtube.com/watch?v=b5CLrAT1rPo&ab_channel=RwandaTV,No bargaining,Positive
"Saturday, 20 August 2022",RwandaTV,https://www.youtube.com/watch?v=b5CLrAT1rPo&ab_channel=RwandaTV,Best fare pricing,Positive
"Tuesday, 5 February 2019",IGIHE,https://igihe.com/amakuru/u-rwanda/article/rura-yatangiye-umukwabu-wo-gufata-abashoferi-badashyira-mubazi-muri-taxi,Confusion,Negative
"Thursday, 13 January 2022",X/Twitter,https://x.com/DerickCastor/status/1481544764986208261,System malfunctions,Negative
"Tuesday, 6 May 2025",X/Twitter,https://x.com/VWRwanda/status/1919639042502647853,Game changer,Positive
